date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:28	59708/59708	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Nov%202021%2010:57:37%20GMT	https://frenify.net/envato/frenify/html/resumo/1/index.html	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/index.html	(from )
15:20:29	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Dec%202019%2012:14:53%20GMT	https://frenify.net/robots.txt		(from )
15:20:29	8243/8243	---M-Z	200	added ('OK')	text/css	etag:%222033-61861185-cd06366beb56af9b;gz%22	https://frenify.net/envato/frenify/html/resumo/1/css/base.css?ver=4	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/css/base7dd3.css	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:29	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-61861185-7742630b5275b15c;gz%22	https://frenify.net/envato/frenify/html/resumo/1/css/owl-carousel.css?ver=4	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/css/owl-carousel7dd3.css	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:29	50966/50966	---M-Z	200	added ('OK')	text/css	etag:%22c716-6189022e-27f6412a39a9a3b7;gz%22	https://frenify.net/envato/frenify/html/resumo/1/css/style.css?ver=4	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/css/style7dd3.css	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:30	4990/4990	---M--	200	added ('OK')	image/png	etag:%22137e-61861186-b617200b856e248d;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/signature.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/signature.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:30	109041/109041	---M--	200	added ('OK')	image/jpeg	etag:%221a9f1-61861187-9edb95a60297c4f9;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/cv.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/cv.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:30	1436/1436	---M-Z	200	added ('OK')	image/svg+xml	etag:%2259c-61861187-c252c8ef075a5d52;gz%22	https://frenify.net/envato/frenify/html/resumo/1/svg/inbox.svg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/svg/inbox.svg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:31	757/757	---M-Z	200	added ('OK')	image/svg+xml	etag:%222f5-61861187-756b926d78246b3d;gz%22	https://frenify.net/envato/frenify/html/resumo/1/svg/arrow.svg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/svg/arrow.svg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:31	2965/2965	---M--	200	added ('OK')	image/jpeg	etag:%22b95-6186118a-51f097d4c2f2b367;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/thumb/square.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/thumb/square.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:31	84316/84316	---M--	200	added ('OK')	image/jpeg	etag:%221495c-61861189-5e3b397aaa99807b;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/1.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/portfolio/1.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:32	75379/75379	---M--	200	added ('OK')	image/jpeg	etag:%2212673-6186118a-5527cca32e6d3d9b;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/3.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/portfolio/3.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:32	193275/193275	---M--	200	added ('OK')	image/jpeg	etag:%222f2fb-6186118a-9d3d193effb27107;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/2.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/portfolio/2.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:33	28704/28704	---M--	200	added ('OK')	image/jpeg	etag:%227020-61861189-43389725a2b163ca;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/4.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/portfolio/4.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:33	368671/368671	---M--	200	added ('OK')	image/jpeg	etag:%225a01f-6186118a-9ef524efbea7fb82;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/5.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/portfolio/5.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:34	3263/3263	---M--	200	added ('OK')	image/png	etag:%22cbf-61861189-3ebadea0bee68694;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/1.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/1.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:34	6307/6307	---M--	200	added ('OK')	image/png	etag:%2218a3-61861189-acc9958b14f073e8;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/2.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/2.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:34	2223/2223	---M--	200	added ('OK')	image/png	etag:%228af-61861189-2d0a3bddc67b03e6;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/3.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/3.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:35	5299/5299	---M--	200	added ('OK')	image/png	etag:%2214b3-61861189-635b9d53b9e3113c;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/4.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/4.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:35	2676/2676	---M--	200	added ('OK')	image/png	etag:%22a74-61861189-2cb7e9a52d933853;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/5.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/5.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:36	3058/3058	---M--	200	added ('OK')	image/png	etag:%22bf2-61861189-ccfffad5bcf79549;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/6.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/6.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:36	2290/2290	---M--	200	added ('OK')	image/png	etag:%228f2-61861189-8fc41c59e9dad557;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/7.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/7.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:36	3135/3135	---M--	200	added ('OK')	image/png	etag:%22c3f-61861189-3d48b56846c99bfb;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/8.png	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/partners/8.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:38	162533/162533	---M--	200	added ('OK')	image/jpeg	etag:%2227ae5-61861188-84d44c49064e2d6d;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/blog/2.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/blog/2.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:38	210717/210717	---M--	200	added ('OK')	image/jpeg	etag:%223371d-61861188-4465e6bb1a49ea13;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/blog/3.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/blog/3.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:38	263541/263541	---M--	200	added ('OK')	image/jpeg	etag:%2240575-61861189-7ea767a0a5288d47;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/blog/4.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/blog/4.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:39	110807/110807	---M--	200	added ('OK')	image/jpeg	etag:%221b0d7-61861188-acc62ef4512b9aea;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/blog/1.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/blog/1.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:39	118408/118408	---M--	200	added ('OK')	image/jpeg	etag:%221ce88-61861189-d29c5bb572f6cffe;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/blog/5.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/blog/5.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:41	160762/160762	---M--	200	added ('OK')	image/jpeg	etag:%22273fa-61861186-e3790ca1e8f6ced6;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/right.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/right.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:41	1298/1298	---M-Z	200	added ('OK')	image/svg+xml	etag:%22512-6186118b-77494acaeee94912;gz%22	https://frenify.net/envato/frenify/html/resumo/1/svg/social/twitter.svg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/svg/social/twitter.svg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
15:20:41	219046/219046	---M--	200	added ('OK')	image/jpeg	etag:%22357a6-61861189-9c947efa894e687b;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/blog/6.jpg	C:/My%20Web%20Sites/pro/frenify.net/envato/frenify/html/resumo/1/img/blog/6.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
